,ID,fq,comp,A,B,C,TMIN,TMAX
72,74,C2H5F,FLUOROETHANE,6.9785,854.21,246.16,-103,-21.0
73,75,C2H5I,IODOETHANE,6.959,1232.0,229.0,30,60.0
74,76,C2H5N,ETHYLENIMINE,7.1323,1133.7,210.01,-25,86.0
75,77,C2H5NO2,NITROETHANE,7.58777,1671.266,241.187,-21,114.0
76,78,C2H5NO3,ETHYL-NITRATE,7.1637,1338.8,224.9,0,60.0
77,79,C2H6,ETHANE,6.83452,663.7,256.47,-143,-75.0
78,80,C2H6O,METHYL-ETHER,7.3164,1025.56,256.06,-94,-8.0
79,81,C2H6O,ETHANOL,8.2133,1652.05,231.48,-3,96.0
80,82,C2H6O2,ETHYLENE-GLYCOL,8.7945,2615.4,244.91,91,221.0
81,83,C2H6S,METHYL-SULFIDE,6.94879,1090.755,230.799,-47,58.0
82,84,C2H6S,ETHANETHIOL,6.95206,1084.531,231.385,-49,56.0
83,85,C2H6S2,METHYL-DISULFIDE,6.97792,1346.342,218.863,6,135.0
84,86,C2H7N,ETHYLAMINE,7.3862,1137.3,235.86,-58,43.0
85,87,C2H7N,DIMETHYLAMINE,7.0639,1024.4,238.01,-55,37.0
86,88,C3H3N,ACRYLONITRILE,6.9163,1208.3,222.01,-18,112.0
87,89,C3H4,ALLENE(PROPADIENE),5.7137,458.06,196.07,-99,-16.0
88,90,C3H4,PROPYNE(METHYLACETYLENE),6.78485,803.73,229.08,-90,-6.0
89,91,C3H4O2,ACRYLIC-ACID,7.1926,1441.5,193.01,42,177.0
90,92,C3H5BR,3-BROMO-1-PROPENE,7.05187,1259.83,232.04,17,93.0
91,93,C3H5CL,3-CHLORO-1-PROPENE,6.9388,1099.6,226.01,-43,77.0
92,94,C3H5CL3,"1,2,3-TRICHLOROPROPANE",7.0028,1484.1,204.01,42,197.0
93,95,C3H5I,3-IODO-1-PROPENE,6.9693,1316.5,220.0,20,142.0
94,96,C3H5N,PROPIONITRILE,6.9301,1277.2,218.01,-3,132.0
95,97,C3H6,PROPENE,6.8196,785.0,247.0,-112,-32.0
96,98,C3H6,CYCLOPROPANE,6.8879,856.01,246.51,-93,-28.0
97,99,C3H6BR2,"1,2-DIBROMOPROPANE",6.89105,1419.6,212.0,50,250.0
98,100,C3H6CL2,"1,2-DICHLOROPROPANE",6.9654,1296.4,221.0,15,135.0
99,101,C3H6CL2,"1,3-DICHLOROPROPANE",6.97186,1376.2,216.0,34,162.0
100,102,C3H6CL2,"2,2-DICHLOROPROPANE",6.9482,1201.1,226.0,-6,105.0
101,103,C3H6I2,"1,2-DIIODOPROPANE",6.0765,1507.41,244.7,125,275.0
102,104,C3H6O,PROPYLENE-OXIDE,6.6546,915.31,208.29,-48,67.0
103,105,C3H6O,ALLYL-ALCOHOL,7.3424,1271.7,188.01,13,127.0
104,106,C3H6O,PROPIONALDEHYDE,7.0493,1154.8,229.01,-38,77.0
105,107,C3H6O,ACETONE,7.2316,1277.03,237.23,-32,77.0
106,108,C3H6S,THIACYCLOBUTANE,7.01667,1321.331,224.513,-5,120.0
107,109,C3H7BR,1-BROMOPROPANE,7.03766,1259.836,232.042,-53,71.0
108,110,C3H7BR,2-BROMOPROPANE,7.00463,1223.475,236.508,-62,60.0
109,111,C3H7CL,1-CHLOROPROPANE,6.9311,1121.12,230.21,-43,77.0
110,112,C3H7CL,2-CHLOROPROPANE,6.9654,1081.6,230.01,-48,67.0
111,113,C3H7F,1-FLUOROPROPANE,6.9533,965.18,239.5,-70,30.0
112,114,C3H7F,2-FLUOROPROPANE,7.07451,965.18,239.5,-49,8.0
113,115,C3H7I,1-IODOPROPANE,7.22121,1507.41,244.701,-36,103.0
114,116,C3H7I,2-IODOPROPANE,7.0167,1340.448,234.365,-43,90.0
115,117,C3H7NO2,1-NITROPROPANE,7.1146,1467.45,215.23,59,131.0
116,118,C3H7NO2,2-NITROPROPANE,7.48654,1664.036,240.995,-19,120.0
117,119,C3H7NO3,PROPYL-NITRATE,7.73719,1721.723,245.49,0,70.0
118,120,C3H7NO3,ISOPROPYL-NITRATE,6.42006,1018.568,183.528,0,70.0
119,121,C3H8,PROPANE,6.80398,803.81,246.99,-108,-25.0
120,122,C3H8O,ETHYL-METHYL-ETHER,5.8819,504.49,160.76,-68,37.0
121,123,C3H8O,1-PROPANOL,7.6192,1375.14,193.01,12,127.0
122,124,C3H8O,ISOPROPANOL,8.1182,1580.92,219.62,0,101.0
123,125,C3H8S,ETHYL-METHYL-SULFIDE,6.93849,1182.562,224.784,-26,90.0
124,126,C3H8S,1-PROPANETHIOL,6.92846,1183.307,224.624,-25,91.0
125,127,C3H8S,2-PROPANETHIOL,6.87734,1113.895,226.157,-37,75.0
126,128,C3H9N,PROPYLAMINE,6.9468,1108.2,224.01,-38,77.0
127,129,C3H9N,TRIMETHYLAMINE,6.9704,968.7,234.01,-58,32.0
128,130,C4F8,OCTAFLUOROCYCLOBUTANE,6.8153,862.49,225.15,-32,1.0
129,131,C4H2,BUTADIYNE(BIACETYLENE),5.51917,460.684,164.594,-78,0.0
130,132,C4H4,1BUTEN3YNE(VINYLACETYLENE),6.953,957.0,230.01,-73,32.0
131,133,C4H4O,FURAN,6.9753,1060.85,227.75,-35,90.0
132,134,C4H4S,THIOPHENE,6.95926,1246.02,221.35,-12,108.0
133,135,C4H6,"1,2-BUTADIENE",6.99383,1041.117,242.274,-26,30.0
134,136,C4H6,"1,3-BUTADIENE",6.84999,930.546,238.854,-58,14.0
135,137,C4H6,1-BUTYNE(ETHYLACETYLENE),6.98198,988.75,233.01,-68,27.0
136,138,C4H6,2-BUTYNE(DIMETHYLACETYLENE),7.07338,1101.71,235.81,-30,47.0
137,139,C4H6,CYCLOBUTENE,6.95769,1009.32,244.986,-77,2.0
138,140,C4H6O3,ACETIC-ANHYDRIDE,7.1216,1427.77,198.05,35,164.0
139,141,C4H7N,BUTYRONITRILE,7.0396,1390.7,217.0,34,160.0
140,142,C4H7N,ISOBUTYRONITRILE,7.21591,1390.7,217.0,49,127.0
141,143,C4H8,1-BUTENE,6.8429,926.1,240.0,-81,13.0
142,144,C4H8,"2-BUTENE,CIS",6.86926,960.1,237.0,-73,23.0
143,145,C4H8,"2-BUTENE,TRANS",6.86952,960.8,240.0,-76,20.0
144,146,C4H8,2-METHYLPROPENE,6.84134,923.2,240.0,-82,12.0
145,147,C4H8,CYCLOBUTANE,6.9163,1024.54,241.38,-73,17.0
146,148,C4H8BR2,"1,2-DIBROMOBUTANE",7.25696,1759.076,235.009,8,166.0
147,149,C4H8BR2,"2,3-DIBROMOBUTANE",7.20023,1691.481,230.223,5,161.0
148,150,C4H8I2,"1,2-DIIODOBUTANE",6.2433,1507.41,244.7,110,246.0
149,151,C4H8O,BUTYRALDEHYDE,7.0212,1233.0,223.01,-18,107.0
150,152,C4H8O,2-BUTANONE,7.2087,1368.21,236.51,-16,103.0
151,153,C4H8O2,P-DIOXANE,7.0063,1288.5,211.01,2,137.0
152,154,C4H8O2,ETHYL-ACETATE,7.0146,1211.9,216.01,-13,112.0
153,155,C4H8S,THIACYCLOPENTANE,6.9954,1401.939,219.607,14,147.0
154,156,C4H9BR,1-BROMOBUTANE,6.92254,1298.608,219.7,19,141.0
155,157,C4H9BR,2-BROMOBUTANE,6.82724,1229.08,220.0,10,146.0
156,158,C4H9BR,2-BROMO-2-METHYLPROPANE,6.6685,1129.7,225.0,-7,110.0
157,159,C4H9CL,1-CHLOROBUTANE,6.9379,1227.43,224.11,-18,112.0
158,160,C4H9CL,2-CHLOROBUTANE,6.9447,1195.8,226.01,-23,102.0
159,161,C4H9CL,1-CHLORO-2-METHYLPROPANE,6.95304,1205.079,227.046,-54,69.0
160,162,C4H9CL,2-CHLORO-2-METHYLPROPANE,6.8671,1114.9,229.01,-38,87.0
161,163,C4H9I,2-IODO-2-METHYLPROPANE,7.2539,1507.41,244.7,42,124.0
162,164,C4H9N,PYRROLIDINE,6.9246,1179.99,205.26,27,127.0
163,165,C4H9NO2,1-NITROBUTANE,6.86715,1467.45,215.23,86,182.0
164,166,C4H9NO2,2-NITROBUTANE,7.25197,1664.03,240.99,75,167.0
165,167,C4H10,BUTANE,6.80896,935.86,238.73,-78,19.0
166,168,C4H10,2-METHYLPROPANE(ISOBUTANE),6.91048,946.35,246.68,-87,7.0
167,169,C4H10O,ETHYL-ETHER,6.92032,1064.07,228.8,-61,20.0
168,170,C4H10O,METHYL-PROPYL-ETHER,6.1186,708.69,179.9,0,39.0
169,171,C4H10O,METHYL-ISOPROPYL-ETHER,6.24495,708.69,179.9,-12,51.0
170,172,C4H10O,1-BUTANOL,7.4768,1362.39,178.73,15,131.0
171,173,C4H10O,SEC-BUTYL-ALCOHOL,7.4743,1314.19,186.51,25,120.0
172,174,C4H10O,TERT-BUTYL-ALCOHOL,7.3199,1154.48,177.66,20,103.0
173,175,C4H10S,ETHYLSULFIDE,6.92836,1257.833,218.662,-6,117.0
174,176,C4H10S,ISOPROPYL-METHYL-SULFIDE,6.90196,1232.17,221.67,-13,109.0
175,177,C4H10S,METHYL-PROPYL-SULFIDE,6.95545,1284.32,219.66,-4,120.0
176,178,C4H10S,1-BUTANETHIOL,6.92754,1281.018,218.1,-2,123.0
177,179,C4H10S,2-BUTANETHIOL,6.88698,1229.904,222.021,-13,109.0
178,180,C4H10S,2-METHYL-1-PROPANETHIOL,6.88746,1237.282,220.313,-10,113.0
179,181,C4H10S,2-METHYL-2-PROPANETHIOL,6.78781,1115.565,221.314,1,87.0
180,182,C4H10S2,ETHYL-DISULFIDE,6.97507,1485.97,208.958,40,182.0
181,183,C4H11N,BUTYLAMINE,7.213,1308.4,224.2,-14,100.0
182,184,C4H11N,SEC-BUTYLAMINE,7.15069,1238.3,227.0,-9,98.0
183,185,C4H11N,TERT-BUTYLAMINE,6.78309,993.262,210.493,19,75.0
184,186,C4H11N,DIETHYLAMINE,6.9724,1127.0,220.01,-31,77.0
185,187,C5H5N,PYRIDINE,6.9882,1344.2,212.01,12,152.0
186,188,C5H6S,2-METHYLTHIOPHENE,6.93897,1326.48,214.31,9,138.0
187,189,C5H6S,3-METHYLTHIOPHENE,6.98611,1363.84,216.78,11,141.0
188,190,C5H8,"1,2-PENTADIENE",6.9182,1104.991,228.851,-20,66.0
189,191,C5H8,"1,3-PENTADIENE,CIS",6.91089,1101.923,229.367,-17,65.0
190,192,C5H8,"1,3-PENTADIENE,TRANS",6.91317,1103.84,231.724,-16,63.0
191,193,C5H8,"1,4-PENTADIENE",6.83543,1017.995,231.461,-33,46.0
192,194,C5H8,"2,3-PENTADIENE",6.96216,1126.837,227.841,-13,69.0
193,195,C5H8,"3-METHYL-1,2-BUTADIENE",6.9435,1103.901,230.89,-20,62.0
194,196,C5H8,"2-METHYL-1,3-BUTADIENE",6.88564,1071.578,233.513,-18,55.0
195,197,C5H8,1-PENTYNE,6.9673,1092.52,227.19,-43,62.0
196,198,C5H8,2-PENTYNE,7.04614,1189.87,229.6,-33,78.0
197,199,C5H8,3-METHYL-1-BUTYNE,6.8848,1014.81,227.11,-55,47.0
198,200,C5H8,CYCLOPENTENE,6.9207,1121.81,233.46,-29,105.0
199,201,C5H8,SPIROPENTANE,6.917,1090.08,231.1,3,71.0
200,202,C5H10,1-PENTENE,6.8465,1044.895,233.516,-55,51.0
201,203,C5H10,"2-PENTENE,CIS",6.87274,1067.951,230.585,-49,58.0
202,204,C5H10,"2-PENTENE,TRANS",6.90575,1083.987,232.965,-49,58.0
203,205,C5H10,2-METHYL-1-BUTENE,6.87314,1053.78,232.788,-53,52.0
